ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
2,"Part time",2012,"2012",1371827,"Doctoral Universities","DOC","doctoral-universities",0.22453457622019735
1,"Full time",2012,"2012",2719293,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8349905962369595
2,"Part time",2012,"2012",537382,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16500940376304052
1,"Full time",2012,"2012",17188,"Northwestern University","147767","northwestern-university",0.8101814753711997
1,"Full time",2012,"2012",13133,"Johns Hopkins University","162928","johns-hopkins-university",0.6292463226486512
1,"Full time",2012,"2012",6130,"Dartmouth College","182670","dartmouth-college",0.9765811693484149
1,"Full time",2012,"2012",10896,"Carnegie Mellon University","211440","carnegie-mellon-university",0.9096677241609618
1,"Full time",2012,"2012",21416,"University of Pennsylvania","215062","university-of-pennsylvania",0.8661678463094035
1,"Full time",2012,"2012",8420,"Brown University","217156","brown-university",0.947664603263928
2,"Part time",2012,"2012",4027,"Northwestern University","147767","northwestern-university",0.1898185246288004
2,"Part time",2012,"2012",7738,"Johns Hopkins University","162928","johns-hopkins-university",0.3707536773513488
2,"Part time",2012,"2012",147,"Dartmouth College","182670","dartmouth-college",0.023418830651585152
2,"Part time",2012,"2012",1082,"Carnegie Mellon University","211440","carnegie-mellon-university",0.09033227583903823
2,"Part time",2012,"2012",3309,"University of Pennsylvania","215062","university-of-pennsylvania",0.13383215369059656
2,"Part time",2012,"2012",465,"Brown University","217156","brown-university",0.05233539673607203
